Date,Demand,country,timezone,date_local,T,Td,RH,HI,Tw,HU,Q,CDD,CDDhi,CDDhu,CDDtw,CDDq,ELD
2019-01-01,663710.0,United Kingdom,Europe/London,2019-01-01,6.416268,3.1870403,80.182785,6.416268,4.532038,5.228089,18.682507,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-02,840993.0,United Kingdom,Europe/London,2019-01-02,2.086185,-0.879309,81.07296,2.086185,0.39957857,-0.25283656,11.064306,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-03,895113.5,United Kingdom,Europe/London,2019-01-03,2.4827783,-0.34476945,81.92977,2.4827783,0.86631316,0.26941168,11.817159,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-04,896919.5,United Kingdom,Europe/London,2019-01-04,3.024226,0.64791256,84.56549,3.0242262,1.596415,1.0706973,13.094539,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-05,824452.5,United Kingdom,Europe/London,2019-01-05,4.252776,1.7614306,83.95908,4.252776,2.7378328,2.5720532,15.10309,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-06,785778.0,United Kingdom,Europe/London,2019-01-06,6.8296247,5.351726,90.45496,6.8296247,5.841157,6.26845,20.85946,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-07,816261.0,United Kingdom,Europe/London,2019-01-07,8.552083,6.355517,86.3328,8.552083,7.1489086,8.364249,23.659494,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-08,827828.5,United Kingdom,Europe/London,2019-01-08,5.9209337,2.260322,77.692314,5.9209337,3.8071592,4.379131,17.184118,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-09,893333.0,United Kingdom,Europe/London,2019-01-09,2.935304,0.5084357,84.494225,2.9353037,1.4956152,0.92885786,12.855273,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-10,918230.5,United Kingdom,Europe/London,2019-01-10,4.973063,3.41974,89.8422,4.973063,3.9553082,3.8317573,17.349194,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-11,881220.5,United Kingdom,Europe/London,2019-01-11,6.9187474,5.0084157,87.73305,6.9187474,5.671997,6.225307,20.578123,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-12,732315.0,United Kingdom,Europe/London,2019-01-12,8.426193,6.377131,87.05579,8.426193,7.0868196,8.222462,23.486095,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-13,685154.5,United Kingdom,Europe/London,2019-01-13,8.671985,5.895997,82.979355,8.671985,6.9405227,8.316533,23.31047,0.0,0.0,0.0,0.0,0.0,0.0
