Date,Sector,Demand,date_utc,T,Td,RH,HI,Tw,HU,W,Q,CDD,CDDhi,CDDhu,CDDtw,CDDq,ELD
2019-01-01,CISO,530774.0,2019-01-01,2.9412837,-10.223788,42.11787,2.9412837,-1.6169648,-0.83705884,0.0019689344,7.9004416,0.3131256,1.0999527,0.26058388,0.96484876,5.3191385,0.0
2019-01-01,ISNE,295831.0,2019-01-01,1.8505853,-0.6148578,84.78052,1.8505853,0.474171,-0.33506954,0.0037494951,11.259307,0.0,0.0,0.0,4.1738014,29.318373,0.11665964
2019-01-01,MISO,1604809.0,2019-01-01,-5.6792207,-8.57437,80.08183,-5.67922,-6.870997,-8.442677,0.0031034944,2.080672,393.86157,472.83154,1214.135,1112.646,3604.0498,1212.1259
2019-01-01,NYIS,382263.0,2019-01-01,3.4571297,1.1570114,85.45497,3.4571297,2.1346076,1.7367126,0.0042693233,14.190365,0.0,0.064445496,0.99683905,8.509838,49.078896,0.6224619
2019-01-01,PJM,1853125.0,2019-01-01,9.650087,6.419197,81.07997,9.650087,7.6854506,9.801995,0.006360825,25.753439,472.8564,590.0345,1519.2587,1380.0602,4608.957,1214.2474
2019-01-01,PNM,42066.0,2019-01-01,-5.6335454,-8.655266,80.83034,-5.6335454,-7.1007724,-9.329099,0.002061529,-0.52695847,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-01,SWPP,757327.0,2019-01-01,-10.4924135,-14.396441,73.66652,-10.4924135,-11.92466,-14.610947,0.0015889255,-6.5927463,4.115448,6.428581,11.170353,10.613821,53.991535,0.0
2019-01-02,CISO,560151.0,2019-01-02,2.830559,-9.68492,45.042873,2.830559,-1.438571,-0.8435561,0.002085609,8.079705,2.2340775,3.9497986,0.0,0.0,0.0,0.0
2019-01-02,ISNE,330565.0,2019-01-02,-8.285616,-14.622898,62.343723,-8.285616,-10.44564,-12.651909,0.0013116399,-5.0692677,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-02,MISO,1767990.0,2019-01-02,-3.8118935,-6.735676,80.481,-3.8118935,-5.1598964,-6.7069087,0.0029561378,3.575819,186.36948,236.89499,684.16895,661.7091,2158.3853,726.4694
2019-01-02,NYIS,421017.0,2019-01-02,-3.815214,-9.624577,65.17112,-3.815214,-6.079387,-7.6263156,0.0019323395,0.9852309,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-02,PJM,2118334.0,2019-01-02,4.32905,1.1478964,80.458015,4.32905,2.4941053,2.5392666,0.0041919686,14.87842,16.536217,21.82856,56.642963,56.02493,205.0644,11.104215
2019-01-02,PNM,43509.0,2019-01-02,-8.10698,-11.096526,80.391304,-8.10698,-9.476187,-12.108681,0.0017191824,-3.875994,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-02,SWPP,794376.0,2019-01-02,-5.7988095,-10.279272,71.98752,-5.7988095,-7.6245713,-9.625926,0.001914378,-1.0571753,0.0,0.02683258,0.784955,2.4296715,19.343239,0.0
2019-01-03,CISO,589511.0,2019-01-03,3.9342387,-7.1173677,50.737576,3.9342387,-0.22146511,0.60952646,0.0024761788,10.172823,16.735764,25.453491,0.35303402,0.0,0.118844986,0.0
2019-01-03,ISNE,341953.0,2019-01-03,-6.4730086,-9.746223,78.74707,-6.4730086,-7.974346,-10.207306,0.002018297,-1.4765686,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-03,MISO,1825055.0,2019-01-03,0.7107307,-2.3892376,80.52016,0.7107307,-0.9009077,-1.6856192,0.0035136438,9.526281,130.651,163.83788,582.3593,609.88293,1937.4852,686.71735
2019-01-03,NYIS,432124.0,2019-01-03,-1.1262925,-4.552394,78.429985,-1.1262925,-2.8275898,-4.1979637,0.0027592133,5.7644134,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-03,PJM,2203662.0,2019-01-03,4.1015487,0.6422175,78.78776,4.1015487,2.2030573,2.2490034,0.004121662,14.473391,0.0,0.11817932,7.279471,27.402205,142.5189,6.5892067
2019-01-03,PNM,43528.0,2019-01-03,-6.758726,-12.199831,68.45681,-6.758726,-8.840025,-10.886251,0.0015785383,-2.8657298,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-03,SWPP,782474.0,2019-01-03,-0.6981451,-5.5856843,71.97515,-0.6981451,-2.8703346,-3.8869996,0.0026280375,5.87182,0.0,0.0,0.3433149,2.671261,15.102095,0.65330726
2019-01-04,CISO,581829.0,2019-01-04,5.0164742,-5.512092,52.18987,5.0164742,0.79191506,1.9395249,0.0027530934,11.961622,63.20997,83.17345,16.782032,1.0195534,22.014475,0.0
2019-01-04,ISNE,331536.0,2019-01-04,-1.9265052,-5.4359884,78.101,-1.9265052,-3.7259245,-5.1600304,0.0025782385,4.505329,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-04,MISO,1798127.0,2019-01-04,2.8072655,-0.6393675,79.177376,2.8072655,0.9309556,0.6311039,0.0037600945,12.256778,107.43096,132.947,390.1178,394.45963,1436.491,329.2624
2019-01-04,NYIS,428803.0,2019-01-04,1.1496449,-3.3096015,72.953316,1.1496449,-1.1142249,-1.7278323,0.0029764099,8.608345,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-04,PJM,2271805.0,2019-01-04,3.4186249,0.328438,81.13606,3.4186249,1.7120292,1.4784608,0.004023768,13.535786,1.1270676,3.3582535,18.59092,41.387543,186.10822,8.987763
2019-01-04,PNM,42249.0,2019-01-04,-2.8012881,-10.280477,59.243004,-2.8012881,-5.7803173,-6.7048855,0.0018288904,1.753939,9.767853,15.044014,0.0,0.0,0.0,0.0
2019-01-04,SWPP,744723.0,2019-01-04,2.524783,-3.0842934,69.49966,2.524783,-0.16284388,-0.24683762,0.003094628,10.297676,135.99734,188.92004,7.586473,0.0,0.7760916,0.0
2019-01-05,CISO,577304.0,2019-01-05,5.37972,-3.8468883,57.34179,5.37972,1.6775005,2.7537537,0.0032569123,13.597736,41.32022,57.358047,15.235669,12.589588,108.759445,0.022998014
2019-01-05,ISNE,315641.0,2019-01-05,0.3215805,-1.6562696,86.882866,0.3215805,-0.84581065,-2.1584783,0.0034205727,8.884425,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-05,MISO,1678054.0,2019-01-05,3.126498,-0.31045097,79.72401,3.126498,1.1921805,0.9955619,0.0038106653,12.707334,479.34924,563.4528,539.6565,354.16824,1275.1653,14.286214
2019-01-05,NYIS,403849.0,2019-01-05,1.16803,-1.2471308,84.30792,1.16803,-0.2196027,-1.2410877,0.0034999142,9.938584,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-05,PJM,2033872.0,2019-01-05,6.097231,2.867449,81.14888,6.097231,4.2528706,4.8405623,0.0047874916,18.168594,33.932648,46.433693,163.23145,194.27469,735.5203,123.616066
2019-01-05,PNM,40649.0,2019-01-05,-0.43566793,-7.985899,59.387085,-0.43566793,-3.609786,-4.04872,0.0021537761,4.95242,31.997887,40.186653,5.882228,0.0,0.17382431,0.0
2019-01-05,SWPP,688888.0,2019-01-05,3.8394008,-1.6316586,70.60393,3.8394008,1.062511,1.3756198,0.003438734,12.493063,730.74646,870.0217,480.79364,163.75801,764.8829,2.5406682
2019-01-06,CISO,546119.0,2019-01-06,5.5730505,2.0463562,80.47669,5.5730505,3.7269063,4.1935244,0.0046499777,17.293957,3.959137,8.136841,3.8174725,10.80504,106.376755,0.2187675
2019-01-06,ISNE,307860.0,2019-01-06,0.070341155,-2.7092843,82.45517,0.07034116,-1.3884562,-2.6349528,0.003168841,7.99902,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-06,MISO,1601843.0,2019-01-06,2.231537,-0.7282331,82.0374,2.231537,0.53752106,0.15944856,0.0038761143,11.975707,778.3695,865.8001,1091.4224,770.51843,2722.0156,284.82303
2019-01-06,NYIS,393381.0,2019-01-06,0.88159686,-2.5426462,78.78999,0.8815969,-0.84245735,-1.7630215,0.003236626,8.990186,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-06,PJM,1957976.0,2019-01-06,6.198491,0.9639031,70.879715,6.198491,3.409565,4.324514,0.0040979763,16.534222,82.22718,105.09275,57.217754,16.1345,98.54856,0.0
2019-01-06,PNM,39308.0,2019-01-06,3.803931,-2.522152,65.71641,3.803931,0.8150002,1.1731896,0.003252058,11.987358,14.744316,20.117203,7.4710617,0.47216988,11.048061,0.0
2019-01-06,SWPP,654970.0,2019-01-06,4.650843,-0.19672203,74.40265,4.650843,2.0931394,2.5825152,0.0038805576,14.428307,782.5401,897.5343,798.42554,389.97556,1535.8927,46.298237
2019-01-07,CISO,563331.0,2019-01-07,7.6955943,4.1014323,79.59723,7.6955943,5.6221027,6.886766,0.005287559,21.052883,76.453316,104.79991,132.80786,145.71413,663.104,29.756065
2019-01-07,ISNE,353943.0,2019-01-07,-9.939538,-17.239302,57.379322,-9.939538,-11.981536,-14.570851,0.0010154039,-7.4767056,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-07,MISO,1673337.0,2019-01-07,6.0346966,2.9174147,81.345375,6.0346966,4.225209,5.08257,0.0051273126,18.980629,1197.2987,1397.7832,2822.8684,2459.091,8082.1025,1879.2533
2019-01-07,NYIS,445654.0,2019-01-07,-7.5394673,-14.842911,57.640453,-7.5394673,-9.820239,-11.95909,0.0012519486,-4.4685106,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-07,PJM,2220191.0,2019-01-07,4.389324,-2.078293,63.951584,4.389324,1.3010001,1.9458252,0.0034611735,13.110506,89.10662,109.46824,66.43679,31.688189,198.23546,0.6353515
2019-01-07,PNM,40356.0,2019-01-07,2.7731864,-3.4837215,66.8775,2.7731864,-0.1416985,-0.04654554,0.0030407761,10.415133,15.641121,21.92717,0.7326479,0.014024973,3.0521026,0.0
2019-01-07,SWPP,648445.0,2019-01-07,7.767359,0.8775576,65.610596,7.767359,4.3274508,6.155908,0.0043907873,18.87566,1184.2811,1385.8779,1643.1592,1306.6932,4489.738,883.95
2019-01-08,CISO,557526.0,2019-01-08,8.717003,4.8351502,78.0376,8.717003,6.4459724,8.131152,0.005536629,22.716797,125.67909,157.74158,193.37567,188.40227,810.202,23.01952
2019-01-08,ISNE,357815.0,2019-01-08,-6.344306,-9.796303,78.80455,-6.344306,-7.63228,-10.037875,0.0020637314,-1.2343342,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-08,MISO,1676583.0,2019-01-08,4.4803805,0.07939188,74.90123,4.4803805,2.2629297,3.0759983,0.0046217158,16.150564,1902.0723,2028.4478,3553.4087,2838.9692,8880.253,2802.7532
2019-01-08,NYIS,443254.0,2019-01-08,-0.01220883,-4.040139,75.9817,-0.012208826,-1.7510003,-2.8032637,0.0030726988,7.681421,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-08,PJM,2176544.0,2019-01-08,8.854982,3.8897486,72.64813,8.854982,6.080604,7.991758,0.005226783,22.078365,281.30383,361.05353,432.95746,299.92996,1232.2678,34.500496
2019-01-08,PNM,39691.0,2019-01-08,1.5249875,-5.4963665,62.11406,1.5249875,-1.6273658,-1.6994317,0.0025883792,8.019999,0.916626,1.7330704,0.0,0.0,0.05734396,0.0
2019-01-08,SWPP,678751.0,2019-01-08,3.9472215,-4.739219,56.503357,3.9472215,0.24272358,1.0417542,0.002944705,11.369592,317.25726,365.18182,515.13055,401.25424,1273.0348,332.6155
2019-01-09,CISO,572532.0,2019-01-09,9.622068,5.1310368,75.622604,9.622068,7.0764256,9.20058,0.005720132,24.099611,155.62094,197.39223,268.61182,299.96024,1194.3608,85.15487
2019-01-09,ISNE,333818.0,2019-01-09,0.3973926,-0.9379286,91.44613,0.3973926,-0.43040082,-1.9441687,0.0035754323,9.347123,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-09,MISO,1805046.0,2019-01-09,-3.4822614,-10.495901,60.793842,-3.4822614,-6.2968626,-7.156326,0.0020853495,1.7254759,462.71228,563.612,943.06244,654.1861,2286.5972,387.32608
2019-01-09,NYIS,428179.0,2019-01-09,1.1164266,-1.3024616,84.693474,1.1164266,-0.21156807,-1.2928089,0.0034997573,9.885432,0.0,0.0,0.0,0.0,0.0,0.0
