Date,Country,avg_ELD,avg_Q,avg_Qb
1/1/04,Afghanistan,0.007101325,9.700319,20.761967
1/1/04,Albania,0.006243071,11.581957,21.74437
1/1/04,Algeria,0.017395573,22.651226,32.642902
1/1/04,Angola,18.97556,61.591286,42.624718
1/1/04,Antarctica,0,-21.626034,-3.658954
1/1/04,Argentina,7.0943556,46.97418,42.457417
1/1/04,Armenia,0,0.8915492,14.570062
1/1/04,Australia,10.253651,57.05592,48.648438
1/1/04,Austria,0,1.9107034,15.305571
1/1/04,Azerbaijan,7.34E-05,12.09908,22.653687
1/1/04,Bangladesh,4.537201,42.6243,38.2353
1/1/04,Belarus,0,-0.9974908,13.277475
1/1/04,Belgium,0.000844907,13.724117,22.961597
1/1/04,Belize,17.437151,60.735744,43.29859
1/1/04,Benin,7.412541,51.118343,47.679115
1/1/04,Bhutan,0.07041329,9.401117,18.648487
1/1/04,Bolivia,20.070925,61.96738,42.12119
1/1/04,Bosnia and Herzegovina,0.000157899,6.41741,18.519028
1/1/04,Botswana,15.556801,61.722187,46.40773
1/1/04,Brazil,24.054256,69.78921,45.73611
1/1/04,Brunei,27.38909,73.83883,46.449738
1/1/04,Bulgaria,0,6.0309014,18.171892
1/1/04,Burkina Faso,0.35527736,38.356087,46.4544
1/1/04,Burundi,13.634,54.522343,40.888596
1/1/04,Cambodia,15.005526,62.31272,47.307484
1/1/04,Cameroon,12.04524,55.56237,45.660572
1/1/04,Canada,1.19E-05,-24.803316,-6.682031
1/1/04,Central African Republic,6.9312963,52.53204,47.82577
1/1/04,Chad,0.04057323,30.787298,41.54571
1/1/04,Chile,1.2174593,31.123287,33.19249
1/1/04,China,0.100174434,-3.165831,11.542789
1/1/04,Colombia,19.16727,64.05761,44.914997
1/1/04,Costa Rica,17.393589,60.364418,42.973213
1/1/04,Croatia,0.005344968,8.601305,20.288692
1/1/04,Cuba,10.979536,54.010853,43.040596
1/1/04,Cyprus,0.2378027,27.010288,30.752865
1/1/04,Czechia,0,3.3189778,16.320047
1/1/04,Democratic Republic of the Congo,22.848999,67.650375,44.808323
1/1/04,Denmark,0,8.495229,19.921244
1/1/04,Djibouti,15.179821,59.720406,44.542336
1/1/04,Dominican Republic,14.049334,56.196373,42.15283
1/1/04,East Timor,26.401728,72.38046,45.97873
1/1/04,Ecuador,17.162758,58.27878,41.19468
1/1/04,Egypt,0.15883185,24.89723,33.543564
1/1/04,El Salvador,12.291301,57.471077,45.18319
1/1/04,Equatorial Guinea,24.975538,69.82295,44.847416
1/1/04,Eritrea,8.82321,51.844734,43.73792
1/1/04,Estonia,0,-1.998806,12.742474
1/1/04,Ethiopia,5.7164135,48.251083,43.549023
1/1/04,Falkland Islands,0.05905236,27.060856,31.357563
1/1/04,Fiji,21.577227,67.50605,45.928825
1/1/04,Finland,0,-5.485711,9.928719
1/1/04,France,2.2996728,21.392616,26.474686
1/1/04,French Southern and Antarctic Lands,0.01339259,18.304834,26.068605
1/1/04,Gabon,25.908424,71.682365,45.773945
1/1/04,Gambia,1.7696371,44.376095,45.188847
1/1/04,Georgia,0,4.686332,17.54021
1/1/04,Germany,0.000110794,8.836073,20.006687
1/1/04,Ghana,13.785068,59.75258,47.974968
1/1/04,Greece,0.053143952,16.428606,24.798035
1/1/04,Greenland,0,-29.893057,-11.186827
1/1/04,Guatemala,12.922515,53.79669,40.89807
1/1/04,Guinea,5.1271935,49.613583,46.241962
1/1/04,Guinea-Bissau,3.151877,47.93689,46.43814
1/1/04,Guyana,20.629469,65.95342,45.32395
1/1/04,Haiti,14.35971,57.410347,43.05189
1/1/04,Honduras,14.131456,56.130253,41.999245
1/1/04,Hungary,0,4.9763985,17.959818
1/1/04,Iceland,0,3.4143963,16.30606
1/1/04,India,3.5903516,37.803047,36.49847
1/1/04,Indonesia,25.72278,71.20583,45.483047
1/1/04,Iran,0.3658307,19.764292,27.208683
1/1/04,Iraq,0.2960558,26.279402,30.644234
1/1/04,Ireland,0.001739883,18.687145,25.768267
1/1/04,Israel,0.09408203,26.932535,31.739607
1/1/04,Italy,0.044069994,14.289854,23.680328
1/1/04,Ivory Coast,14.9795,61.548073,47.405704
1/1/04,Jamaica,16.654955,60.98127,44.326317
1/1/04,Japan,0,7.2701693,20.107944
1/1/04,Jordan,0.005676019,21.932074,29.142956
1/1/04,Kazakhstan,0,-5.776153,9.898881
1/1/04,Kenya,14.980328,61.607887,46.661186
1/1/04,Kosovo,0,7.001563,18.881296
1/1/04,Kuwait,1.6069291,33.762558,34.254433
1/1/04,Kyrgyzstan,0,-7.5086846,8.050992
1/1/04,Laos,7.675083,46.866608,39.35763
1/1/04,Latvia,0,-1.7123872,12.974243
1/1/04,Lebanon,0.01987809,19.605318,26.267372
1/1/04,Lesotho,6.984279,43.81389,36.970387
1/1/04,Liberia,22.383757,68.65253,46.33385
1/1/04,Libya,0.01190418,22.375294,32.0322
1/1/04,Lithuania,0,-1.7339066,12.890215
1/1/04,Luxembourg,0.000127275,10.745397,20.853903
1/1/04,Madagascar,22.583967,67.97786,45.39389
1/1/04,Malawi,20.32408,64.16274,43.838696
1/1/04,Malaysia,24.135271,69.727,45.591724
1/1/04,Mali,0.07976965,31.09188,41.90345
1/1/04,Mauritania,0.26496992,29.534857,39.262108
1/1/04,Mexico,3.4375582,35.137894,34.94141
1/1/04,Moldova,0,2.0746102,15.701092
1/1/04,Mongolia,0,-17.006392,0.9561985
1/1/04,Montenegro,0.003005933,6.8277893,18.541994
1/1/04,Morocco,0.2966684,26.79019,32.5605
1/1/04,Mozambique,22.264488,69.03026,46.766396
1/1/04,Myanmar,5.3923573,43.600525,39.107258
1/1/04,Namibia,10.944466,54.643078,44.520645
1/1/04,Nepal,0.42072472,14.971549,22.296564
1/1/04,Netherlands,9.99E-06,14.714126,23.707483
1/1/04,New Caledonia,19.584208,65.73371,46.1495
1/1/04,New Zealand,4.0351825,39.34076,36.26377
1/1/04,Nicaragua,17.851664,62.524403,44.67285
1/1/04,Niger,0.008315858,27.15746,39.581005
1/1/04,Nigeria,5.7892566,46.775818,46.651928
1/1/04,North Korea,0,-5.6762657,10.442385
1/1/04,North Macedonia,0,7.3726068,19.072128
1/1/04,Northern Cyprus,0.26460248,28.909027,32.159496
1/1/04,Norway,0,-8.119657,7.68586
1/1/04,Oman,4.467086,43.805374,40.74984
1/1/04,Pakistan,0.41777858,22.906363,29.398611
1/1/04,Palestine,0.110689476,27.924915,31.918972
1/1/04,Panama,20.372032,65.36014,44.98814
1/1/04,Papua New Guinea,24.23574,68.72135,44.48561
1/1/04,Paraguay,20.285236,69.249626,48.964394
1/1/04,Peru,16.089157,55.70303,40.01452
1/1/04,Philippines,22.822538,67.94432,45.12178
1/1/04,Poland,0,1.6171025,15.249756
1/1/04,Portugal,0.80338144,27.53249,30.279207
1/1/04,Puerto Rico,16.782948,60.543674,43.760727
1/1/04,Qatar,4.578454,43.990887,40.106686
1/1/04,Republic of Serbia,0,5.873828,18.165606
1/1/04,Republic of the Congo,25.239185,71.0677,45.828754
1/1/04,Romania,0,2.2739975,15.691154
1/1/04,Russia,0,-21.394062,-3.6932516
1/1/04,Rwanda,11.542205,51.69731,40.15511
1/1/04,Saudi Arabia,1.7166473,34.93099,36.846996
1/1/04,Senegal,0.77131313,41.019863,45.479748
1/1/04,Sierra Leone,15.298355,61.997562,47.17505
1/1/04,Slovakia,0,1.1729403,15.0140915
1/1/04,Slovenia,0,6.5077357,18.697746
1/1/04,Solomon Islands,27.78764,74.77499,46.987347
1/1/04,Somalia,13.808532,61.14682,47.383884
1/1/04,Somaliland,9.483451,51.78726,42.686275
1/1/04,South Africa,9.310345,52.28696,43.775414
1/1/04,South Korea,0,3.9562716,18.593372
1/1/04,South Sudan,4.094703,50.428318,49.66232
1/1/04,Spain,0.13350518,21.775766,27.790583
1/1/04,Sri Lanka,20.987503,66.67977,45.69227
1/1/04,Sudan,0.7122542,32.50222,41.237564
1/1/04,Suriname,21.678637,67.92841,46.24978
1/1/04,Sweden,0,-3.7587543,11.088549
1/1/04,Switzerland,0.000537225,3.578581,16.202728
1/1/04,Syria,0.00356122,21.495258,27.642385
1/1/04,Taiwan,2.7501972,35.0595,33.697628
1/1/04,Tajikistan,7.99E-06,-6.0640926,8.446005
1/1/04,Thailand,13.647553,57.96283,44.348595
1/1/04,The Bahamas,8.057542,49.650715,41.702446
1/1/04,Togo,11.455371,57.207428,47.674007
1/1/04,Trinidad and Tobago,22.074064,68.05884,45.98477
1/1/04,Tunisia,0.044553578,25.220764,31.011866
1/1/04,Turkey,0.006669786,9.436653,20.09409
1/1/04,Turkmenistan,0.004717721,16.614672,25.63522
1/1/04,Uganda,13.642973,58.45394,44.878334
1/1/04,Ukraine,0,3.5230937,16.491505
1/1/04,United Arab Emirates,2.6312957,41.911163,40.38936
1/1/04,United Kingdom,0.001420359,17.54477,25.204025
1/1/04,United Republic of Tanzania,18.593588,62.72928,44.14062
1/1/04,United States of America,0.27108893,-0.42869744,13.16788
1/1/04,Uruguay,12.186447,56.61818,44.50743
1/1/04,Uzbekistan,0.000276536,10.301704,21.336493
1/1/04,Vanuatu,24.589226,71.12686,46.537632
1/1/04,Venezuela,18.82989,64.528534,45.70041
1/1/04,Vietnam,10.625597,49.979824,39.926296
1/1/04,Western Sahara,0.06420948,28.974022,36.47625
1/1/04,Yemen,4.801498,43.794117,40.800724
1/1/04,Zambia,19.90087,62.863953,42.96309
1/1/04,Zimbabwe,16.991169,61.874317,44.890358
1/1/04,eSwatini,16.229338,59.54149,43.312153
2/1/04,Afghanistan,0.001207121,10.378381,22.729538
2/1/04,Albania,0.026808174,15.015585,24.082283
2/1/04,Algeria,0.026772501,26.21351,36.42692
2/1/04,Angola,17.50185,60.127968,42.62947
2/1/04,Antarctica,0,-28.56723,-10.045658
2/1/04,Argentina,5.5402207,43.94319,40.52806
2/1/04,Armenia,0,3.1673758,16.233694
2/1/04,Australia,13.592743,60.826,48.242958
2/1/04,Austria,0,6.3819933,18.785913
2/1/04,Azerbaijan,0.000386869,13.576213,23.759472
2/1/04,Bangladesh,5.6215577,46.950577,41.636242
2/1/04,Belarus,0,2.6620545,15.850403
2/1/04,Belgium,0.000449604,15.51837,24.353376
2/1/04,Belize,18.536331,62.991,44.457714
2/1/04,Benin,7.9778237,52.290543,49.152416
2/1/04,Bhutan,0.41749674,13.746815,21.193419
2/1/04,Bolivia,17.645203,58.743984,41.43022
2/1/04,Bosnia and Herzegovina,0.00109814,10.658746,21.40698
2/1/04,Botswana,14.784831,60.306355,45.777687
2/1/04,Brazil,23.203428,68.522064,45.320244
